COUNTRY,YEAR,GHO,VALUE1,GHO,VALUE2,GHO,VALUE3,GHO,VALUE4
Iran (Islamic Republic of),2012,Tax structure: Excise tax proportion of price,0.00000,Average -  cigarette price in international dollars,2.26000,"Daily cigarette smoking, age-standardised",5.6,Compliance with regulations on smoke-free environments (national legislation),9.00000
Oman,2012,Tax structure: Excise tax proportion of price,0.00000,Average -  cigarette price in international dollars,2.60000,"Daily cigarette smoking, age-standardised",8.2,Compliance with regulations on smoke-free environments (national legislation),9.00000
Saudi Arabia,2012,Tax structure: Excise tax proportion of price,0.00000,Average -  cigarette price in international dollars,2.63000,"Daily cigarette smoking, age-standardised",10.2,Compliance with regulations on smoke-free environments (national legislation),8.00000
Azerbaijan,2012,Tax structure: Excise tax proportion of price,2.02000,Average -  cigarette price in international dollars,1.75000,"Daily cigarette smoking, age-standardised",15.5,Compliance with regulations on smoke-free environments (national legislation),7.00000
Cameroon,2012,Tax structure: Excise tax proportion of price,6.69000,Average -  cigarette price in international dollars,7.54000,"Daily cigarette smoking, age-standardised",9.8,Compliance with regulations on smoke-free environments (national legislation),5.00000
Nigeria,2012,Tax structure: Excise tax proportion of price,15.87000,Average -  cigarette price in international dollars,1.75000,"Daily cigarette smoking, age-standardised",4.8,Compliance with regulations on smoke-free environments (national legislation),5.00000
Nepal,2012,Tax structure: Excise tax proportion of price,16.29000,Average -  cigarette price in international dollars,1.78000,"Daily cigarette smoking, age-standardised",16.9,Compliance with regulations on smoke-free environments (national legislation),6.00000
Armenia,2012,Tax structure: Excise tax proportion of price,16.67000,Average -  cigarette price in international dollars,1.69000,"Daily cigarette smoking, age-standardised",22.7,Compliance with regulations on smoke-free environments (national legislation),3.00000
Zambia,2012,Tax structure: Excise tax proportion of price,20.00000,Average -  cigarette price in international dollars,1.68000,"Daily cigarette smoking, age-standardised",8.2,Compliance with regulations on smoke-free environments (national legislation),3.00000
Honduras,2012,Tax structure: Excise tax proportion of price,21.51000,Average -  cigarette price in international dollars,3.18000,"Daily cigarette smoking, age-standardised",9.9,Compliance with regulations on smoke-free environments (national legislation),7.00000
Senegal,2012,Tax structure: Excise tax proportion of price,25.00000,Average -  cigarette price in international dollars,1.61000,"Daily cigarette smoking, age-standardised",6.8,Compliance with regulations on smoke-free environments (national legislation),3.00000
Brazil,2012,Tax structure: Excise tax proportion of price,28.97000,Average -  cigarette price in international dollars,2.33000,"Daily cigarette smoking, age-standardised",11.5,Compliance with regulations on smoke-free environments (national legislation),8.00000
China,2012,Tax structure: Excise tax proportion of price,29.90000,Average -  cigarette price in international dollars,2.16000,"Daily cigarette smoking, age-standardised",20.4,Compliance with regulations on smoke-free environments (national legislation),3.00000
Fiji,2012,Tax structure: Excise tax proportion of price,31.05000,Average -  cigarette price in international dollars,4.23000,"Daily cigarette smoking, age-standardised",15.1,Compliance with regulations on smoke-free environments (national legislation),8.00000
Viet Nam,2012,Tax structure: Excise tax proportion of price,32.50000,Average -  cigarette price in international dollars,2.49000,"Daily cigarette smoking, age-standardised",14.3,Compliance with regulations on smoke-free environments (national legislation),5.00000
Lebanon,2012,Tax structure: Excise tax proportion of price,32.61000,Average -  cigarette price in international dollars,2.35000,"Daily cigarette smoking, age-standardised",16.9,Compliance with regulations on smoke-free environments (national legislation),8.00000
Republic of Moldova,2012,Tax structure: Excise tax proportion of price,34.00000,Average -  cigarette price in international dollars,1.95000,"Daily cigarette smoking, age-standardised",17.9,Compliance with regulations on smoke-free environments (national legislation),2.00000
Georgia,2012,Tax structure: Excise tax proportion of price,34.09000,Average -  cigarette price in international dollars,1.57000,"Daily cigarette smoking, age-standardised",21.7,Compliance with regulations on smoke-free environments (national legislation),0.00000
